iter	Passed	Remaining
401	12164	18095
402	12188	18055
403	12234	18048
404	12264	18017
405	12293	17986
406	12322	17954
407	12360	17934
408	12388	17901
409	12418	17870
410	12447	17838
411	12477	17807
412	12507	17777
413	12527	17731
414	12556	17700
415	12586	17669
416	12614	17636
417	12644	17604
418	12658	17553
419	12688	17521
420	12718	17491
421	12747	17460
422	12777	17429
423	12806	17397
424	12835	17365
425	12859	17327
426	12888	17295
427	12917	17263
428	12947	17232
429	12976	17201
430	13006	17170
431	13035	17139
432	13065	17108
433	13096	17080
434	13126	17048
435	13155	17017
436	13188	16991
437	13222	16965
438	13252	16935
439	13282	16904
440	13310	16872
441	13342	16843
442	13370	16811
443	13386	16763
444	13415	16731
445	13444	16700
446	13473	16668
447	13502	16637
448	13531	16605
449	13561	16575
450	13590	16543
451	13621	16514
452	13650	16483
453	13680	16452
454	13690	16398
455	13719	16367
456	13748	16336
457	13777	16304
458	13792	16257
459	13822	16225
460	13852	16196
461	13882	16166
462	13910	16133
463	13920	16080
464	13958	16059
465	13987	16028
466	14017	15998
467	14046	15966
468	14077	15938
469	14105	15906
470	14135	15875
471	14164	15844
472	14193	15813
473	14222	15782
474	14253	15753
475	14285	15725
476	14318	15699
477	14347	15668
478	14383	15645
479	14413	15614
480	14445	15587
481	14477	15558
482	14509	15530
483	14538	15499
484	14567	15468
485	14596	15437
486	14625	15406
487	14654	15374
488	14683	15344
489	14714	15315
490	14744	15285
491	14780	15260
492	14809	15230
493	14838	15199
494	14868	15168
495	14897	15137
496	14936	15117
497	14979	15099
498	15008	15068
499	15039	15039
500	15069	15008
501	15098	14977
502	15129	14949
503	15160	14920
504	15184	14884
505	15214	14853
506	15244	14823
507	15273	14792
508	15302	14761
509	15333	14732
510	15363	14701
511	15403	14681
512	15432	14650
513	15461	14619
514	15491	14588
515	15520	14557
516	15549	14527
517	15578	14495
518	15608	14465
519	15638	14435
520	15667	14404
521	15696	14373
522	15726	14342
523	15754	14311
524	15784	14281
525	15813	14250
526	15843	14219
527	15858	14176
528	15888	14146
529	15916	14115
530	15946	14084
531	15976	14054
532	16005	14023
533	16024	13983
534	16054	13954
535	16085	13924
536	16114	13893
537	16144	13863
538	16173	13833
539	16202	13802
540	16232	13771
541	16260	13740
542	16290	13710
543	16320	13680
544	16351	13651
545	16380	13620
546	16409	13589
547	16437	13558
548	16467	13527
549	16497	13497
550	16526	13467
551	16555	13436
552	16584	13405
553	16613	13374
554	16642	13344
555	16671	13312
556	16704	13285
557	16733	13254
558	16762	13223
559	16791	13193
560	16821	13163
561	16850	13132
562	16880	13102
563	16908	13071
564	16939	13041
565	16968	13010
566	16997	12980
567	17025	12949
568	17057	12920
569	17087	12890
570	17116	12859
571	17145	12829
572	17179	12802
573	17208	12771
574	17238	12741
575	17266	12710
576	17296	12680
577	17326	12650
578	17356	12620
579	17385	12589
580	17414	12559
581	17444	12528
582	17473	12498
583	17501	12467
584	17531	12436
585	17560	12406
586	17589	12375
587	17620	12346
588	17650	12316
589	17679	12285
590	17707	12254
591	17735	12223
592	17764	12192
593	17793	12162
594	17822	12131
595	17856	12103
596	17885	12073
597	17895	12029
598	17924	11999
599	17943	11962
600	17973	11932
601	18002	11901
602	18031	11871
603	18061	11841
604	18091	11811
605	18120	11781
606	18149	11751
607	18178	11720
608	18207	11689
609	18235	11658
610	18264	11628
611	18292	11597
612	18325	11569
613	18355	11539
614	18384	11508
615	18412	11478
616	18442	11447
617	18470	11417
618	18500	11387
619	18530	11357
620	18560	11327
621	18589	11297
622	18620	11267
623	18648	11237
624	18678	11206
625	18707	11176
626	18736	11146
627	18767	11117
628	18798	11087
629	18827	11057
630	18857	11027
631	18885	10996
632	18915	10966
633	18943	10935
634	18972	10905
635	19003	10876
636	19033	10846
637	19062	10816
638	19095	10787
639	19124	10757
640	19154	10727
641	19187	10699
642	19219	10670
643	19248	10640
644	19277	10610
645	19307	10580
646	19340	10551
647	19370	10522
648	19399	10492
649	19430	10462
650	19459	10432
651	19488	10401
652	19517	10371
653	19545	10340
654	19574	10310
655	19603	10279
656	19632	10249
657	19662	10219
658	19691	10189
659	19720	10159
660	19749	10128
661	19778	10098
662	19807	10068
663	19836	10037
664	19867	10008
665	19896	9978
666	19925	9948
667	19954	9917
668	19983	9887
669	20012	9856
670	20041	9826
671	20070	9796
672	20101	9766
673	20130	9736
674	20159	9706
675	20189	9676
676	20218	9646
677	20247	9615
678	20276	9585
679	20306	9555
680	20337	9526
681	20367	9496
682	20396	9466
683	20425	9436
684	20455	9406
