iter	Logloss
0	0.6866203799
1	0.6806483686
2	0.6748552428
3	0.669116161
4	0.6630294831
5	0.657311679
6	0.6522959393
7	0.6472250761
8	0.6419179307
9	0.6369379493
10	0.6321478621
11	0.6275316219
12	0.6230761725
13	0.6186874011
14	0.6146888531
15	0.6108791321
16	0.6070764903
17	0.6041416809
18	0.6004860798
19	0.5965274035
20	0.5933029258
21	0.5897885188
22	0.586790148
23	0.5837376395
24	0.5805797592
25	0.5775206381
26	0.5746127879
27	0.5718047916
28	0.5690706122
29	0.5664113972
30	0.563734098
31	0.560915114
32	0.5581358444
33	0.555445279
34	0.5527954529
35	0.5504477135
36	0.5483419058
37	0.5461722628
38	0.5437715589
39	0.5415689541
40	0.5394464667
41	0.5371035333
42	0.5353648418
43	0.5334760944
44	0.5316587807
45	0.5296514943
46	0.5277946183
47	0.5258742842
48	0.5240093356
49	0.5226772249
50	0.5209955454
51	0.5189291034
52	0.5172145071
53	0.5156736759
54	0.5136380301
55	0.51212471
56	0.5109412125
57	0.509262327
58	0.5077021959
59	0.5064879928
60	0.5050004044
61	0.5039262375
62	0.5024414111
63	0.5010361072
64	0.500064691
65	0.4988344558
66	0.4972916717
67	0.4962007687
68	0.4949435075
69	0.4937789856
70	0.4928425112
71	0.4915328946
72	0.4905344087
73	0.4893499881
74	0.4882162954
75	0.4871418635
76	0.4859632668
77	0.4849289265
78	0.4836213905
79	0.482620353
80	0.4813695989
81	0.4802983028
82	0.4789381105
83	0.4777624532
84	0.4766501388
85	0.4757343438
86	0.4747725898
87	0.4739507848
88	0.4729214205
89	0.4719537655
90	0.4708734357
91	0.4699697644
92	0.4689749428
93	0.4683426699
94	0.4675744742
95	0.4669067869
96	0.4662561902
97	0.4653463135
98	0.4644563798
99	0.4638230244
100	0.4628692646
101	0.4622006155
102	0.4614628035
103	0.4608860073
104	0.4601351949
105	0.4592050329
106	0.458631035
107	0.4578080229
108	0.4571446229
109	0.4563261635
110	0.4555967855
111	0.4547971631
112	0.4541860411
113	0.4533633509
114	0.4527605278
115	0.4520141083
116	0.4516260316
117	0.4511172842
118	0.4504324852
119	0.449711072
120	0.4487395367
121	0.4482324778
122	0.4474072032
123	0.4467053361
124	0.4459722879
125	0.4452249202
126	0.4445173797
127	0.4439514142
128	0.4432774293
129	0.4428158587
130	0.4419639639
131	0.4410175104
132	0.4403963924
133	0.4398773166
134	0.4394207302
135	0.438725757
136	0.4380192018
137	0.4373196957
138	0.4367017221
139	0.4360980161
140	0.4353571366
141	0.434875559
142	0.4341281603
143	0.4335618807
144	0.433056024
145	0.432481184
146	0.4316549085
147	0.430926829
148	0.4303768557
149	0.4298394828
150	0.4292820559
151	0.4286504163
152	0.428127649
153	0.4274665366
154	0.4269511726
155	0.4263901882
156	0.4259136488
